,open,high,low,close,volume,summ,SMA_5,SMA_10,redif,EMA_5,EMA_10,RSI,MACD,MACD_signal,BB_Middle,BB_Upper,BB_Lower,OBV,H-L,H-PC,L-PC,TR,ATR,ROC,Momentum,Std_Dev,future
0,0.5089403973509959,0.37526595744680546,0.644141252006419,0.5648956356736278,484518.0,0.1,0.4929475015812809,0.5220430107526921,-0.04285262492093567,0.49857062523574874,0.5356001067997893,0.0,-0.03702948156404057,-0.10280482826316815,0.5220430107526921,1.1419676554345237,-0.09788163392913962,1387756.0,-0.26887529455961356,0.17634694577900945,0.09252834878060412,0.17634694577900945,0.14947042420224044,0.8075288403157452,0.021030993042378654,0.30996232234091586,0.0
1,0.49569536423840643,0.3845744680851112,0.6634028892455802,0.5554079696394737,487779.0,0.1,0.5100253004427614,0.5146505376344127,-0.04075743200506099,0.507314832067091,0.5364085909973274,0.0,-0.029093758930236358,-0.08806261439658179,0.5146505376344127,1.1240374032839853,-0.09473632801515985,899977.0,-0.278828421160469,0.18032116758851657,0.09850725357195245,0.18032116758851657,0.1541176104579248,0.5847319978343424,0.01707779886148053,0.3046934328247863,0.0
2,0.5105960264900616,0.37127659574468763,0.6666131621187773,0.5535104364326443,491002.0,0.1,0.5293168880455447,0.509669512966481,-0.043840923466163306,0.51442184812333,0.5371066255048913,0.0,-0.022684777381561272,-0.07498704699357768,0.509669512966481,1.113660045952512,-0.09432102001954978,408975.0,-0.29533656637408967,0.18413137389478607,0.1112051924793036,0.18413137389478607,0.1582299837874898,0.7189157336476124,0.019291587602783267,0.3019952664930154,0.0
3,0.49735099337748634,0.38856382978723614,0.6136436597110716,0.5648956356736278,502472.0,0.1,0.5512966476913387,0.5035815939278978,-0.061314041745729964,0.5221870462079912,0.5382408708179008,0.0,-0.016053824609909673,-0.06320040251684408,0.5035815939278978,1.0990971510923464,-0.09193396323655079,911447.0,-0.22507982992383546,0.16494660664540817,0.060133223278427295,0.16494660664540817,0.16167494018459946,0.875866414618778,0.021979759645793944,0.2977577785822243,0.0
4,0.5271523178807896,0.3845744680851112,0.6617977528089852,0.5535104364326443,507907.0,0.1,0.5573055028463042,0.49452877925364097,-0.05898165717900333,0.5270060293194763,0.5388641183940127,0.0,-0.011858089074536449,-0.052931939828382554,0.49452877925364097,1.0729241721696543,-0.0838666136623723,403540.0,-0.27722328472387403,0.18032116758851657,0.09690211713535746,0.18032116758851657,0.16483831435800234,0.14978320851400384,0.006008855154965668,0.28919769645800664,0.0
5,0.5006622516556319,0.3792553191489375,0.6682182985553723,0.5819734345351136,510778.0,0.1,0.5623655913978546,0.4872944339025973,-0.09467900063251633,0.5354625531988051,0.5406236823181393,0.0,-0.005161129119334196,-0.04337777768657289,0.4872944339025973,1.0520037889690348,-0.07741492116384019,914318.0,-0.2889629794064348,0.1742551172837068,0.11470786212272799,0.1742551172837068,0.17095798511580482,0.11649071714599413,0.005060088551550379,0.28235467753321875,0.0
6,0.5105960264900616,0.37526595744680546,0.5863563402889213,0.46053130929791875,516558.0,0.1,0.5546173308032942,0.4784392789373854,0.01790796963946667,0.5239346695217457,0.5373546058683344,0.0,-0.013419936346588668,-0.037386209418576045,0.4784392789373854,1.0308311929872045,-0.07395263511243372,397760.0,-0.2110903828421158,0.20670747708830817,0.00438290575380762,0.20670747708830817,0.177347860901398,-0.16798080219403422,-0.007748260594560463,0.27619595702490957,0.0
7,0.4112582781456936,0.3247340425531945,0.5173354735152443,0.4339658444022788,529032.0,0.1,0.5437065148640151,0.4688330170778026,0.034867172675523805,0.5100933118110584,0.5331346564207403,0.0,-0.02304134460968188,-0.03451723645679721,0.4688330170778026,1.0074939239525684,-0.06982788979696314,-131272.0,-0.19260143096204985,0.13579726674472425,0.05680416421732559,0.13579726674472425,0.17968382016499382,-0.23177695666778797,-0.01091081593927908,0.2693304534373829,0.0
8,0.4261589403973488,0.37792553191489586,0.563884430176563,0.5724857685009525,539984.0,0.1,0.5437065148640151,0.46116382036686016,-0.1113219481340923,0.5196921513018113,0.5347408242607489,0.0,-0.015048672958937526,-0.030623523757225275,0.46116382036686016,0.9825921194641576,-0.06026447873043733,408712.0,-0.18595889826166712,0.05604031248738295,0.12991858577428417,0.12991858577428417,0.17659176104217642,0.0,0.0,0.26071414954864874,0.0
9,0.5006622516556319,0.3726063829787293,0.5975922953451004,0.5326375711575068,547155.0,0.1,0.5408602150537692,0.45416666666667055,-0.07847090449083621,0.5216837543565337,0.5346549771953104,0.0,-0.01297122283877672,-0.027093063573535567,0.45416666666667055,0.9621047311288704,-0.05377139779552925,-138443.0,-0.2249859123663711,0.19987938552222317,0.025106526844147936,0.19987938552222317,0.1764809454393396,-0.06026113157011992,-0.002846299810245867,0.2539690322310999,0.0
